id,sku,marca,link_anterior,link_oferta,titulo,precio_anterior,precio_en_oferta,categoria
133090,8429420201361,Farmacias Central Oeste,https://www.centraloeste.com.ar/isdin-foto-protector-solar-x50ml-spf30-fusion-water-urban.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/isdin-foto-protector-solar-x50ml-spf30-fusion-water-urban.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Solar Isdin Fotoprotector Extreme FPS30 Fusion Water Urban x50ml,2203,"1542,1",Cosmética y Belleza
133092,7798008190726,Farmacias Central Oeste,https://www.centraloeste.com.ar/7798008190726-quelat-complex-x30comp.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7798008190726-quelat-complex-x30comp.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Quelat Complex x30Comp,1301,"910,7",Varios
133099,73796630027,Farmacias Central Oeste,https://www.centraloeste.com.ar/73796630027-omron-tensiometro-mod-hem-6300.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/73796630027-omron-tensiometro-mod-hem-6300.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Omron Tensiómetro Mod Hem-6300,9499,"6649,3",Electro y Tecno
133100,7798008190764,Farmacias Central Oeste,https://www.centraloeste.com.ar/7798008190764-satial-suplemento-dietario-x30comp-carb-controller.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7798008190764-satial-suplemento-dietario-x30comp-carb-controller.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Satial Suplemento Dietario x30Comp Carb Controller,1371,"959,7",Varios
133101,4715139000659,Farmacias Central Oeste,https://www.centraloeste.com.ar/4715139000659-silfab-termometro-ra600-infrarrojo.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/4715139000659-silfab-termometro-ra600-infrarrojo.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Silfab Termometro Ra600 Infrarrojo,5499,"3849,3",Electro y Tecno
133103,7793008015963,Farmacias Central Oeste,https://www.centraloeste.com.ar/7793008015963-issue-coloracion-sin-amoniaco-1-negro.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7793008015963-issue-coloracion-sin-amoniaco-1-negro.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Coloración Issue Sin Amoniaco 1 Negro,300,195,Cosmética y Belleza
133104,7794640171550,Farmacias Central Oeste,https://www.centraloeste.com.ar/7794640171550-sensodyne-pasta-dental-x-10livio.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7794640171550-sensodyne-pasta-dental-x-10livio.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Pasta Dental Sensodyne Rápido Alivio x100gr,450,"292,5",Alimentos y Bebidas
133106,7896015520045,Farmacias Central Oeste,https://www.centraloeste.com.ar/7896015520045-sensodyne-pasta-dental-x-90-blanqueador-extra-fresh.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7896015520045-sensodyne-pasta-dental-x-90-blanqueador-extra-fresh.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Pasta Dental Sensodyne Blanqueador Extra Fresh x90gr,300,195,Alimentos y Bebidas
133110,7798095410240,Farmacias Central Oeste,https://www.centraloeste.com.ar/avene-agua-termal-x-300ml.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/avene-agua-termal-x-300ml.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Agua Termal Avene x300ml,2462,"1600,3",Cosmética y Belleza
133112,7793640000297,Farmacias Central Oeste,"https://www.centraloeste.com.ar/7793640000297-Berocca-Suplemento-Vitaminico-x-30-Cmp-Performance-Efervescente-Vitaminas,-Calcio-Y-Magnesio.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace","https://www.centraloeste.com.ar/7793640000297-Berocca-Suplemento-Vitaminico-x-30-Cmp-Performance-Efervescente-Vitaminas,-Calcio-Y-Magnesio.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace",Berocca Suplemento Vitamínico x 30 Cmp Performance Efervescente Vitami,1157,"752,05",Varios
